INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,HCM2,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,ADM_RATE,TYPE,PLACE
Tufts University,Medford,MA,02155-5555,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.1462,Large,Suburb
Chapman University,Orange,CA,92866,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.5356,Midsize,City
California State University-Los Angeles,Los Angeles,CA,90032-8506,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,California,Far West,0.4152,Large,City
Bryn Mawr College,Bryn Mawr,PA,19010,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Pennsylvania,Mid East,0.3408,Large,Suburb
Austin College,Sherman,TX,75090-4400,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Texas,Southwest,0.5532,Small,City
Seattle Pacific University,Seattle,WA,98119-1997,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Washington,Far West,0.9008,Large,City
Carrington College-San Leandro,San Leandro,CA,94578-1977,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,Not main campus,7,Predominantly certificate-degree granting,Associate degree,Private for-profit,California,Far West,0.9189,Small,City
Williams College,Williamstown,MA,1267,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.1297,Fringe,Town
Loyola University Chicago,Chicago,IL,60660,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Illinois,Great Lakes,0.6792,Large,City
DeVry University-California,Ontario,CA,91764,Higher Learning Commission,0,Not main campus,17,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,California,Far West,0.9487,Large,Suburb
Pratt Institute-Main,Brooklyn,NY,11205,Middle States Commission on Higher Education,0,Main campus,2,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.507,Large,City
University of St Thomas,Houston,TX,77006-4696,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Texas,Southwest,0.8224,Large,City
Carrington College-Sacramento,Sacramento,CA,95826,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,Main campus,7,Predominantly certificate-degree granting,Associate degree,Private for-profit,California,Far West,0.887,Large,Suburb
Babson College,Wellesley,MA,02457-0310,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.2441,Large,Suburb
Phillips School of Nursing at Mount Sinai Beth Israel,New York,NY,10001-6354,New York State Board of Regents and the Commissioner of Education,0,Main campus,1,Predominantly associate's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.6667,Large,City
Herzing University-Minneapolis,St. Louis Park,MN,55426,Higher Learning Commission,0,Not main campus,10,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Minnesota,Plains,0.94,Large,Suburb
Temple University,Philadelphia,PA,19122-6096,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Pennsylvania,Mid East,0.5851,Large,City
Plaza College,Forest Hills,NY,11375,Middle States Commission on Higher Education,0,Main campus,1,Predominantly associate's-degree granting,Bachelor's degree,Private for-profit,New York,Mid East,0.302,Large,City
Vassar College,Poughkeepsie,NY,12604,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.2458,Large,Suburb
Pennsylvania State University-Penn State Brandywine,Media,PA,19063-5522,Middle States Commission on Higher Education,0,Not main campus,23,Predominantly bachelor's-degree granting,Bachelor's degree,Public,Pennsylvania,Mid East,0.8685,Large,Suburb
The College of New Jersey,Ewing,NJ,08628-7718,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New Jersey,Mid East,0.498,Large,Suburb
Chamberlain University-Arizona,Phoenix,AZ,85021,Higher Learning Commission,0,Not main campus,15,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,Arizona,Southwest,0.2727,Large,City
St Catherine University,Saint Paul,MN,55105,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Minnesota,Plains,0.7325,Large,City
Southern California Institute of Technology,Anaheim,CA,92801-3758,Accrediting Commission of Career Schools and Colleges,0,Main campus,1,Predominantly certificate-degree granting,Bachelor's degree,Private for-profit,California,Far West,0.5964,Large,City
The University of Texas at Arlington,Arlington,TX,76013,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Texas,Southwest,0.7952,Large,City
Hofstra University,Hempstead,NY,11549,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.632,Large,Suburb
University of Massachusetts-Lowell,Lowell,MA,01854-5104,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,Massachusetts,New England,0.7183,Large,Suburb
Simmons University,Boston,MA,02115-5898,New England Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Massachusetts,New England,0.6972,Large,City
St. Peter's Hospital College of Nursing,Albany,NY,12208,Accreditation Commission for Education in Nursing,0,Main campus,1,Predominantly associate's-degree granting,Associate degree,Private nonprofit,New York,Mid East,1.0,Small,City
Notre Dame de Namur University,Belmont,CA,94002-1908,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,California,Far West,0.8152,Large,Suburb
Fashion Institute of Technology,New York,NY,10001-5992,Middle States Commission on Higher Education,0,Main campus,1,Predominantly associate's-degree granting,Graduate degree,Public,New York,Mid East,0.5267,Large,City
University of Rochester,Rochester,NY,14627-0011,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.2942,Midsize,City
CUNY John Jay College of Criminal Justice,New York,NY,10019,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.4058,Large,City
Adelphi University,Garden City,NY,11530-0701,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.7418,Large,Suburb
University of Connecticut,Storrs,CT,6269,New England Commission on Higher Education,0,Main campus,5,Predominantly bachelor's-degree granting,Graduate degree,Public,Connecticut,New England,0.4877,Large,Suburb
Nevada State College,Henderson,NV,89002,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Public,Nevada,Far West,0.8134,Fringe,Rural
University of North Carolina at Chapel Hill,Chapel Hill,NC,27599,Southern Association of Colleges and Schools Commission on Colleges,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,North Carolina,Southeast,0.2271,Small,City
Pacific College,Costa Mesa,CA,92626,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly associate's-degree granting,Bachelor's degree,Private for-profit,California,Far West,0.6,Midsize,City
Long Island University,Brookville,NY,11548-1327,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.7554,Large,Suburb
Chamberlain University-New Jersey,North Brunswick,NJ,08902-3492,Higher Learning Commission,0,Not main campus,15,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,New Jersey,Mid East,0.4545,Large,Suburb
Fordham University,Bronx,NY,10458,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,New York,Mid East,0.4602,Large,City
Chamberlain University-Virginia,Arlington,VA,22202,Higher Learning Commission,0,Not main campus,15,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,Virginia,Southeast,0.1667,Midsize,City
San Francisco Conservatory of Music,San Francisco,CA,94102-6011,Western Association of Schools and Colleges Senior Colleges and University Commission,0,Main campus,1,Predominantly certificate-degree granting,Graduate degree,Private nonprofit,California,Far West,0.4521,Large,City
George Washington University,Washington,DC,20052,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,District of Columbia,Mid East,0.4187,Large,City
Saint Louis University,Saint Louis,MO,63103-2097,Higher Learning Commission,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Missouri,Plains,0.5753,Large,City
Pennsylvania State University-Penn State Harrisburg,Middletown,PA,17057-4846,Middle States Commission on Higher Education,0,Not main campus,23,Predominantly bachelor's-degree granting,Graduate degree,Public,Pennsylvania,Mid East,0.8775,Large,Suburb
Pacific University,Forest Grove,OR,97116,Northwest Commission on Colleges and Universities,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Oregon,Far West,0.8531,Large,Suburb
Webb Institute,Glen Cove,NY,11542-1398,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,New York,Mid East,0.3333,Large,Suburb
Henrico County-Saint Marys Hospital School of Practical Nursing,Henrico,VA,23294,Accreditation Commission for Education in Nursing,0,Main campus,1,Predominantly certificate-degree granting,Certificate degree,Public,Virginia,Southeast,0.8537,Large,Suburb
Maryland Institute College of Art,Baltimore,MD,21217-4134,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,Maryland,Mid East,0.6426,Large,City
SUNY College at Old Westbury,Old Westbury,NY,11568-0210,Middle States Commission on Higher Education,0,Main campus,1,Predominantly bachelor's-degree granting,Graduate degree,Public,New York,Mid East,0.7786,Large,Suburb
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,15260,Middle States Commission on Higher Education,0,Main campus,5,Predominantly bachelor's-degree granting,Graduate degree,Public,Pennsylvania,Mid East,0.5927,Large,City
